subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
160,-71.860497,145.349518,-71.784920,-11.723459,-36.364891,1.116573,1,0,0,1
161,-66.216011,150.410126,-54.920235,-4.316769,-28.978443,0.536376,0,0,0,0
162,-78.487122,156.066467,-63.484070,-5.102118,-33.258133,0.851934,0,0,1,0
163,-94.734215,166.263763,-61.798866,-7.984123,-34.564396,0.458437,0,0,0,0
164,-84.297318,164.177948,-66.946274,-9.929810,-44.200012,1.110109,1,0,0,0
165,-93.995094,155.207550,-72.421906,-10.182302,-43.488014,0.459510,0,0,0,0
166,-96.221138,152.789917,-73.259819,-12.681294,-40.395981,1.100738,0,1,0,1
167,-84.851013,187.398132,-50.038586,7.970255,-27.083036,0.701370,0,0,0,0
168,-67.984047,166.688416,-57.861954,2.689679,-25.364548,1.371072,0,0,1,0
169,-84.221092,172.308365,-56.606297,3.346399,-33.702888,0.874267,0,0,0,0
170,-95.538834,164.335358,-48.059097,9.514055,-28.927837,0.886780,0,0,0,1
171,-94.639267,158.407532,-50.628914,5.656040,-30.800402,0.585695,0,0,0,0
172,-91.574188,149.452820,-64.722427,2.556231,-28.630219,0.819609,1,1,0,0
173,-72.715332,165.449265,-47.742249,-0.340544,-23.840405,1.106994,0,0,0,0
174,-78.468689,161.978149,-46.963341,3.702908,-20.032513,0.913616,0,0,1,0
175,-56.073784,147.009766,-42.519081,2.199019,-25.474321,0.610699,0,0,0,1
176,-78.373566,147.793076,-60.040066,1.812937,-33.166893,0.884612,0,1,0,0
177,-61.790024,137.360901,-44.210129,-0.150719,-39.719490,0.498081,0,0,0,0
178,-70.045708,145.682816,-61.253181,3.696772,-38.602036,0.752816,1,0,0,1
179,-63.458042,153.855240,-49.435226,2.429303,-25.654922,0.611065,0,0,0,0
180,-64.718246,152.458527,-50.784912,2.120088,-27.577555,0.551847,0,0,1,0
181,-74.665924,148.370926,-44.078247,12.651432,-31.116014,0.774022,0,0,0,0
182,-80.019287,148.629898,-50.908112,9.372355,-33.043564,0.689894,1,0,0,0
183,-90.239441,158.503128,-64.016335,12.143133,-34.365875,0.646203,0,0,0,0
184,-93.925110,146.650024,-63.113037,13.010572,-39.345573,0.832132,0,1,0,1
185,-59.478134,156.966156,-52.060768,11.073303,-36.609665,0.807956,0,0,0,0
186,-80.539421,150.003967,-56.548672,22.211866,-31.454248,0.428538,0,0,1,0
187,-79.972488,150.883881,-58.650372,10.171456,-41.065228,0.676884,0,0,0,0
188,-82.524681,149.924255,-59.771656,9.003704,-41.530682,0.910044,0,0,0,1
189,-78.153038,143.412292,-53.792007,12.932543,-42.015591,0.938133,1,0,0,0
190,-63.033169,127.267555,-43.560123,14.478308,-47.688644,0.835453,0,1,0,0
191,-74.802574,129.171478,-46.799789,12.111630,-36.895355,0.762281,0,0,0,0
192,-83.652267,151.081558,-55.671383,9.945449,-31.034397,1.261343,0,0,1,1
193,-54.898182,161.191010,-49.364380,8.663338,-32.427368,0.795898,0,0,0,0
194,-68.028122,152.065735,-42.677284,15.085663,-30.164789,0.743284,1,0,0,0
195,-79.637779,147.365082,-39.230644,19.064274,-26.867355,0.584157,0,0,1,0
196,-72.535500,156.841400,-45.915482,9.120658,-34.273399,0.874450,1,0,0,0
197,-61.779915,138.333466,-53.849251,11.075029,-35.896812,1.052175,0,0,0,0
198,-66.293968,145.996033,-63.180450,22.277046,-32.417900,0.758857,0,0,1,1
199,-56.591557,144.636963,-66.480621,18.419598,-34.868324,0.870536,0,0,0,0
200,-60.722244,136.582977,-50.979553,20.429943,-26.597649,0.725422,0,1,0,0
201,-78.092484,163.186798,-60.854916,14.881536,-33.392494,0.679706,0,0,0,0
202,-80.112442,156.153656,-60.471832,15.475146,-31.023663,0.740358,0,0,0,1
203,-63.536125,141.238556,-69.210938,14.260995,-34.399612,0.932214,0,0,0,0
204,-63.989212,143.900528,-66.413696,12.317520,-29.740448,0.912320,1,0,1,0
205,-40.198624,156.104614,-51.693085,17.647057,-25.517990,0.793629,0,0,0,0
